human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8217,0.8917,0.8937,0.9579,0.8529,0.9891,0.921
0.796,0.5674,0.7742,0.8968,0.8982,0.9604,0.8485,0.9806,0.9081
0.796,0.5674,0.7972,0.8953,0.897,0.9631,0.8573,0.9906,0.948
0.796,0.5674,0.7976,0.8936,0.8963,0.9623,0.8557,0.99,0.9421
0.796,0.5674,0.7795,0.9049,0.9045,0.9646,0.859,0.9928,0.9447
0.796,0.5674,0.8075,0.9053,0.9096,0.9641,0.8565,0.9939,0.9428
0.796,0.5674,0.82,0.8897,0.8908,0.9612,0.8523,0.9901,0.9332
0.796,0.5674,0.8234,0.8911,0.8922,0.9602,0.8508,0.9889,0.9415
0.796,0.5674,0.8,0.9005,0.9014,0.9613,0.8538,0.9886,0.9305
0.796,0.5674,0.825,0.8985,0.9004,0.9614,0.8589,0.9903,0.9276
