human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.9389,0.9609,0.9781,0.9781,0.9934,0.9797,0.9985,0.9921
0.7051,0.9389,0.9629,0.9793,0.9791,0.9941,0.9788,0.9984,0.9915
0.7051,0.9389,0.9643,0.978,0.9784,0.9943,0.9787,0.9984,0.9911
0.7051,0.9389,0.962,0.9807,0.9812,0.9938,0.9803,0.9988,0.9886
0.7051,0.9389,0.9621,0.9795,0.9797,0.9947,0.9775,0.9986,0.991
0.7051,0.9389,0.9658,0.9798,0.9805,0.9931,0.9792,0.9984,0.9906
0.7051,0.9389,0.964,0.9782,0.9785,0.995,0.979,0.9985,0.9868
0.7051,0.9389,0.9626,0.9784,0.9789,0.9931,0.9801,0.9985,0.9894
0.7051,0.9389,0.9631,0.9803,0.9804,0.9937,0.9776,0.9985,0.9889
0.7051,0.9389,0.9612,0.9776,0.9778,0.994,0.9804,0.9983,0.9897
