human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8245,0.9104,0.9121,0.925,0.8994,0.9981,0.9677
0.8026,0.5674,0.8055,0.9281,0.9309,0.9349,0.8997,0.9986,0.9679
0.8026,0.5674,0.7227,0.9235,0.9248,0.9276,0.8988,0.9991,0.9589
0.8026,0.5674,0.8224,0.9071,0.9099,0.9247,0.9001,0.9985,0.9675
0.8026,0.5674,0.7952,0.9011,0.9033,0.9271,0.8955,0.9975,0.9553
0.8026,0.5674,0.8036,0.9304,0.9314,0.9289,0.9013,0.9986,0.9598
0.8026,0.5674,0.8349,0.9317,0.9342,0.9317,0.9072,0.999,0.9725
0.8026,0.5674,0.8224,0.9091,0.9098,0.9296,0.9003,0.9983,0.9612
0.8026,0.5674,0.8245,0.9125,0.9157,0.9279,0.9012,0.9985,0.9672
0.8026,0.5674,0.7978,0.9098,0.9135,0.9222,0.9017,0.9985,0.9738
