human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.5674,0.7657,0.9152,0.9153,0.7881,0.9471,0.9998,0.9936
0.7007,0.5674,0.7805,0.9128,0.9132,0.7898,0.9458,0.9995,0.9941
0.7007,0.5674,0.779,0.9291,0.9291,0.7914,0.9511,1.0,0.992
0.7007,0.5674,0.7766,0.9333,0.9335,0.7871,0.9481,0.9997,0.9936
0.7007,0.5674,0.7846,0.9357,0.936,0.7875,0.9491,0.9999,0.9928
0.7007,0.5674,0.7693,0.9018,0.9014,0.7827,0.9475,0.9995,0.9919
0.7007,0.5674,0.7779,0.941,0.9412,0.7853,0.9495,1.0,0.9939
0.7007,0.5674,0.7784,0.9266,0.927,0.7936,0.9468,0.9998,0.9962
0.7007,0.5674,0.7785,0.9206,0.9209,0.7933,0.9461,0.9998,0.9949
0.7007,0.5674,0.7698,0.9233,0.9229,0.7929,0.9473,0.9999,0.9946
