human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.9389,0.9631,0.9792,0.9792,0.4829,0.9404,0.9999,0.9992
0.7015,0.9389,0.9646,0.9821,0.9821,0.4664,0.9306,0.9999,0.9998
0.7015,0.9389,0.9647,0.9829,0.9828,0.4657,0.9353,0.9999,0.9997
0.7015,0.9389,0.9648,0.983,0.983,0.4794,0.9316,1.0,0.9995
0.7015,0.9389,0.9612,0.9837,0.9837,0.5048,0.9363,1.0,0.9992
0.7015,0.9389,0.9634,0.982,0.9819,0.4979,0.9315,0.9999,0.9994
0.7015,0.9389,0.9623,0.9827,0.9827,0.4473,0.9412,0.9999,0.9996
0.7015,0.9389,0.963,0.9824,0.9824,0.4507,0.9377,0.9999,0.9997
0.7015,0.9389,0.9642,0.9819,0.9819,0.5004,0.9312,0.9999,0.9996
0.7015,0.9389,0.9634,0.9813,0.9812,0.4694,0.9367,0.9999,0.9997
