human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.9389,0.9696,0.9874,0.9874,0.5255,0.9585,1.0,0.9993
0.8021,0.9389,0.9692,0.9854,0.9854,0.532,0.9598,1.0,0.9992
0.8021,0.9389,0.9704,0.9875,0.9875,0.5274,0.9567,1.0,0.9986
0.8021,0.9389,0.9708,0.985,0.985,0.529,0.9558,1.0,0.9995
0.8021,0.9389,0.9666,0.9846,0.9846,0.5274,0.9589,1.0,0.9992
0.8021,0.9389,0.9692,0.9853,0.9853,0.5293,0.9573,1.0,0.9989
0.8021,0.9389,0.9653,0.9849,0.9849,0.528,0.9595,1.0,0.9994
0.8021,0.9389,0.9709,0.9865,0.9865,0.53,0.9593,1.0,0.9991
0.8021,0.9389,0.9687,0.9863,0.9863,0.5284,0.9577,1.0,0.9989
0.8021,0.9389,0.9647,0.9865,0.9865,0.5279,0.9556,1.0,0.9993
