human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.5674,0.7784,0.9171,0.9171,0.4167,0.9079,0.9997,0.9992
0.7015,0.5674,0.7859,0.934,0.9342,0.4145,0.9133,1.0,0.9989
0.7015,0.5674,0.7773,0.9214,0.9215,0.4056,0.9018,0.9996,0.9993
0.7015,0.5674,0.772,0.9363,0.9364,0.4267,0.9069,0.9999,0.9995
0.7015,0.5674,0.7729,0.9085,0.9085,0.3993,0.8953,0.9992,0.9987
0.7015,0.5674,0.7696,0.9333,0.9334,0.3936,0.9068,0.9998,0.9988
0.7015,0.5674,0.7694,0.9104,0.9104,0.4228,0.8959,0.9993,0.998
0.7015,0.5674,0.7734,0.9291,0.9292,0.4022,0.9076,0.9997,0.9994
0.7015,0.5674,0.7752,0.9339,0.9339,0.4201,0.9087,0.9998,0.9988
0.7015,0.5674,0.7729,0.9296,0.9297,0.4066,0.9001,0.9997,0.9979
