human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.9389,0.9713,0.9844,0.9844,0.5592,0.9735,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5592,0.9745,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5592,0.9719,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5592,0.9749,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5591,0.975,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5592,0.9748,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5589,0.9756,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5592,0.9749,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5591,0.9736,1.0,0.9993
0.8021,0.9389,0.9713,0.9844,0.9844,0.5592,0.974,1.0,0.9993
