human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8265,0.9257,0.9286,0.8669,0.8812,0.9977,0.9553
0.8026,0.5674,0.8139,0.9101,0.9132,0.8805,0.8634,0.9963,0.9382
0.8026,0.5674,0.817,0.9135,0.9163,0.8694,0.8771,0.9969,0.9494
0.8026,0.5674,0.8284,0.9272,0.9298,0.8716,0.8804,0.9984,0.9497
0.8026,0.5674,0.7639,0.9222,0.9252,0.8714,0.8792,0.9974,0.9354
0.8026,0.5674,0.8168,0.9179,0.9212,0.8743,0.8772,0.9964,0.9444
0.8026,0.5674,0.8114,0.9106,0.9136,0.8706,0.8657,0.9965,0.9397
0.8026,0.5674,0.8218,0.9181,0.921,0.8738,0.8713,0.9957,0.9331
0.8026,0.5674,0.8222,0.9217,0.9249,0.8788,0.876,0.9968,0.9564
0.8026,0.5674,0.7935,0.9195,0.9222,0.8716,0.8779,0.9967,0.9529
