human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.5674,0.7758,0.9153,0.9157,0.7998,0.9455,0.9999,0.9961
0.7007,0.5674,0.765,0.918,0.918,0.8036,0.9469,0.9997,0.996
0.7007,0.5674,0.7648,0.9137,0.914,0.8073,0.9481,0.9998,0.9959
0.7007,0.5674,0.7725,0.9181,0.9185,0.8023,0.9467,0.9997,0.9962
0.7007,0.5674,0.7659,0.9094,0.9096,0.8083,0.9463,0.9998,0.9952
0.7007,0.5674,0.7782,0.9182,0.9189,0.7971,0.9461,0.9996,0.9958
0.7007,0.5674,0.7693,0.9122,0.9126,0.8044,0.9442,0.9997,0.9956
0.7007,0.5674,0.7749,0.9152,0.9154,0.8001,0.9459,0.9998,0.996
0.7007,0.5674,0.7666,0.9154,0.9158,0.7976,0.9447,0.9998,0.9956
0.7007,0.5674,0.7713,0.9148,0.9148,0.7993,0.9444,0.9998,0.9954
