human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.98,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.9786,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.9792,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.9794,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.9804,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.9805,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.9797,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.981,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.9807,0.9982,0.992
0.7051,0.9389,0.9616,0.9768,0.977,0.9954,0.9825,0.9982,0.992
