human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.9389,0.9701,0.9806,0.9803,0.9542,0.9811,0.9995,0.9931
0.8026,0.9389,0.9663,0.981,0.9814,0.9487,0.9831,0.9995,0.9936
0.8026,0.9389,0.962,0.98,0.9796,0.9565,0.9843,0.9994,0.9941
0.8026,0.9389,0.9699,0.9812,0.9815,0.9505,0.9837,0.9993,0.9943
0.8026,0.9389,0.9658,0.9803,0.9805,0.9519,0.9837,0.9994,0.9928
0.8026,0.9389,0.9664,0.9811,0.9812,0.9538,0.9827,0.9998,0.9931
0.8026,0.9389,0.9727,0.9847,0.9847,0.9579,0.9841,0.9998,0.9923
0.8026,0.9389,0.9651,0.9793,0.9794,0.9547,0.9836,0.999,0.9926
0.8026,0.9389,0.9727,0.9847,0.9847,0.9579,0.984,0.9998,0.9923
0.8026,0.9389,0.967,0.9847,0.9844,0.9589,0.9845,0.9995,0.9909
