human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.5674,0.7686,0.926,0.9261,0.683,0.9197,0.9998,0.9882
0.7007,0.5674,0.7598,0.9312,0.9314,0.6879,0.92,1.0,0.9885
0.7007,0.5674,0.7674,0.9176,0.9175,0.6942,0.9213,0.9999,0.9893
0.7007,0.5674,0.758,0.9141,0.9143,0.6875,0.924,0.9999,0.9806
0.7007,0.5674,0.7574,0.9318,0.9318,0.6919,0.92,1.0,0.9877
0.7007,0.5674,0.7573,0.9199,0.9196,0.6868,0.9211,1.0,0.9921
0.7007,0.5674,0.7564,0.9283,0.9288,0.6995,0.9201,0.9998,0.9877
0.7007,0.5674,0.7622,0.9246,0.9246,0.692,0.9157,0.9997,0.9837
0.7007,0.5674,0.761,0.916,0.9163,0.6904,0.9142,0.9997,0.9885
0.7007,0.5674,0.7612,0.9166,0.9169,0.6924,0.9224,0.9997,0.9857
