human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.5674,0.7824,0.9188,0.9189,0.4645,0.9291,0.9997,0.9995
0.7015,0.5674,0.7823,0.9188,0.9189,0.4645,0.9312,0.9997,0.9995
0.7015,0.5674,0.7822,0.9187,0.9188,0.4646,0.9298,0.9997,0.9995
0.7015,0.5674,0.7822,0.9188,0.9189,0.4646,0.9316,0.9997,0.9995
0.7015,0.5674,0.7823,0.9188,0.9189,0.4646,0.9286,0.9997,0.9995
0.7015,0.5674,0.7824,0.9188,0.9189,0.4646,0.929,0.9997,0.9995
0.7015,0.5674,0.7823,0.9188,0.9189,0.4646,0.9286,0.9997,0.9995
0.7015,0.5674,0.7823,0.9188,0.9189,0.4645,0.9346,0.9997,0.9995
0.7015,0.5674,0.7823,0.9188,0.9189,0.4646,0.9283,0.9997,0.9995
0.7015,0.5674,0.7823,0.9188,0.9189,0.4646,0.9286,0.9997,0.9995
