human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.9389,0.9608,0.9797,0.9798,0.8557,0.9854,1.0,0.9984
0.7007,0.9389,0.9633,0.9815,0.9814,0.8615,0.9842,1.0,0.9988
0.7007,0.9389,0.9606,0.9824,0.9825,0.8592,0.985,1.0,0.9991
0.7007,0.9389,0.96,0.9807,0.9806,0.8535,0.9829,1.0,0.9988
0.7007,0.9389,0.9589,0.9824,0.9824,0.8435,0.9834,1.0,0.9989
0.7007,0.9389,0.9591,0.9804,0.9805,0.8648,0.9855,1.0,0.9988
0.7007,0.9389,0.9616,0.9807,0.9806,0.8569,0.9868,1.0,0.999
0.7007,0.9389,0.9635,0.9794,0.9793,0.8642,0.9857,1.0,0.999
0.7007,0.9389,0.9605,0.9828,0.983,0.8513,0.9828,1.0,0.9987
0.7007,0.9389,0.9592,0.98,0.9801,0.859,0.985,1.0,0.9987
