human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.8252,0.9386,0.939,0.3438,0.8467,0.9997,0.9908
0.8021,0.5674,0.8277,0.9472,0.9474,0.347,0.8508,0.9998,0.9929
0.8021,0.5674,0.8093,0.9335,0.934,0.3531,0.852,0.9995,0.9863
0.8021,0.5674,0.8219,0.9319,0.9322,0.3446,0.8467,0.9995,0.9917
0.8021,0.5674,0.806,0.9324,0.9328,0.3413,0.8514,0.9998,0.9872
0.8021,0.5674,0.8314,0.9417,0.9422,0.3472,0.8563,0.9995,0.9937
0.8021,0.5674,0.7872,0.9406,0.941,0.3395,0.8459,0.9998,0.9852
0.8021,0.5674,0.8131,0.9251,0.9255,0.3479,0.8472,0.9995,0.9923
0.8021,0.5674,0.8132,0.9397,0.9399,0.3474,0.8469,0.9997,0.9896
0.8021,0.5674,0.8283,0.9443,0.9447,0.3467,0.8535,0.9997,0.9926
