human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7768,0.8983,0.8974,0.9717,0.8704,0.9939,0.9552
0.7051,0.5674,0.7663,0.8849,0.8853,0.9684,0.8666,0.9919,0.9404
0.7051,0.5674,0.7807,0.9019,0.9027,0.9732,0.8742,0.9924,0.9536
0.7051,0.5674,0.7708,0.9161,0.9161,0.9727,0.872,0.9963,0.942
0.7051,0.5674,0.771,0.8938,0.894,0.9711,0.8772,0.9935,0.9499
0.7051,0.5674,0.7715,0.8824,0.8823,0.969,0.8697,0.9914,0.9474
0.7051,0.5674,0.7678,0.8918,0.8918,0.97,0.8752,0.9925,0.9445
0.7051,0.5674,0.7626,0.9263,0.9264,0.9715,0.8708,0.9965,0.9455
0.7051,0.5674,0.7812,0.9083,0.9095,0.971,0.875,0.9946,0.9578
0.7051,0.5674,0.7776,0.8927,0.8922,0.9703,0.8727,0.9929,0.9508
