human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7717,0.8942,0.8939,0.9649,0.8699,0.9936,0.9599
0.7051,0.5674,0.775,0.8951,0.8953,0.9635,0.8676,0.9932,0.9568
0.7051,0.5674,0.7653,0.8938,0.8939,0.9674,0.8644,0.9934,0.9592
0.7051,0.5674,0.7697,0.8975,0.8973,0.9691,0.8693,0.9938,0.9596
0.7051,0.5674,0.7688,0.893,0.8921,0.967,0.8701,0.9934,0.9625
0.7051,0.5674,0.7768,0.9032,0.903,0.9674,0.8706,0.9939,0.9598
0.7051,0.5674,0.7674,0.8954,0.8944,0.967,0.8702,0.9933,0.9589
0.7051,0.5674,0.773,0.896,0.8963,0.9668,0.871,0.9932,0.9622
0.7051,0.5674,0.7763,0.8957,0.8965,0.9646,0.8689,0.9933,0.96
0.7051,0.5674,0.7703,0.8913,0.891,0.9657,0.8674,0.9924,0.9602
