human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8196,0.8966,0.8983,0.9563,0.8459,0.9897,0.946
0.796,0.5674,0.8243,0.8973,0.8994,0.9591,0.8528,0.9903,0.9474
0.796,0.5674,0.8211,0.9002,0.9007,0.9586,0.845,0.9903,0.9358
0.796,0.5674,0.8183,0.8923,0.8948,0.9576,0.8449,0.9899,0.9457
0.796,0.5674,0.8231,0.9,0.9008,0.9589,0.8471,0.9904,0.9484
0.796,0.5674,0.8176,0.8946,0.8965,0.9564,0.8461,0.9903,0.9406
0.796,0.5674,0.8186,0.8952,0.8955,0.9582,0.8528,0.9895,0.943
0.796,0.5674,0.8234,0.8978,0.9001,0.9588,0.8523,0.991,0.9473
0.796,0.5674,0.8243,0.8997,0.9021,0.9578,0.8554,0.9906,0.9396
0.796,0.5674,0.8254,0.9032,0.9043,0.9563,0.8537,0.9912,0.9457
