human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.9389,0.9577,0.9813,0.9813,0.3623,0.8894,0.9999,0.9989
0.7015,0.9389,0.9589,0.9828,0.9828,0.3768,0.8913,0.9999,0.9984
0.7015,0.9389,0.9606,0.9835,0.9835,0.3705,0.889,0.9999,0.9992
0.7015,0.9389,0.9616,0.9849,0.9849,0.3762,0.891,0.9999,0.9981
0.7015,0.9389,0.962,0.9831,0.9831,0.3671,0.8838,0.9999,0.9986
0.7015,0.9389,0.9584,0.9829,0.9829,0.3643,0.8941,0.9999,0.9992
0.7015,0.9389,0.9609,0.9842,0.9841,0.369,0.8907,0.9999,0.9994
0.7015,0.9389,0.9608,0.9868,0.9868,0.3802,0.8876,0.9999,0.9987
0.7015,0.9389,0.9585,0.9852,0.9852,0.3696,0.8909,0.9999,0.9992
0.7015,0.9389,0.9605,0.9839,0.9839,0.3661,0.8872,0.9999,0.9988
