human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.9389,0.968,0.9811,0.9823,0.9923,0.9733,0.9987,0.9872
0.796,0.9389,0.9694,0.9846,0.9851,0.9921,0.9751,0.9987,0.9851
0.796,0.9389,0.9665,0.9835,0.9842,0.9927,0.9732,0.9986,0.9861
0.796,0.9389,0.9645,0.9822,0.982,0.9926,0.9762,0.9985,0.9829
0.796,0.9389,0.9695,0.9839,0.9845,0.993,0.9765,0.9986,0.9848
0.796,0.9389,0.9651,0.9813,0.9818,0.9925,0.9738,0.9981,0.9858
0.796,0.9389,0.9717,0.9849,0.9853,0.9922,0.9753,0.9989,0.9841
0.796,0.9389,0.9686,0.9812,0.982,0.9921,0.9741,0.9977,0.9861
0.796,0.9389,0.9682,0.981,0.9819,0.9913,0.9742,0.9982,0.9825
0.796,0.9389,0.9686,0.9822,0.983,0.9921,0.9767,0.9983,0.9873
