human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.9389,0.9639,0.9797,0.9796,0.877,0.9915,1.0,0.9992
0.7007,0.9389,0.9638,0.9797,0.9796,0.877,0.9909,1.0,0.9992
0.7007,0.9389,0.9638,0.9797,0.9796,0.8771,0.9919,1.0,0.9992
0.7007,0.9389,0.9638,0.9797,0.9796,0.877,0.9923,1.0,0.9992
0.7007,0.9389,0.9638,0.9797,0.9796,0.877,0.9913,1.0,0.9992
0.7007,0.9389,0.9638,0.9797,0.9796,0.877,0.9908,1.0,0.9992
0.7007,0.9389,0.9638,0.9797,0.9796,0.877,0.9907,1.0,0.9992
0.7007,0.9389,0.9637,0.9797,0.9796,0.877,0.9908,1.0,0.9992
0.7007,0.9389,0.9638,0.9797,0.9796,0.877,0.9914,1.0,0.9992
0.7007,0.9389,0.9638,0.9797,0.9796,0.877,0.9916,1.0,0.9992
