human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.9389,0.9686,0.9803,0.9805,0.9944,0.9743,0.9983,0.991
0.796,0.9389,0.9694,0.9825,0.9819,0.9942,0.9779,0.9984,0.9908
0.796,0.9389,0.9697,0.9826,0.9829,0.9939,0.976,0.9983,0.9906
0.796,0.9389,0.97,0.9829,0.9828,0.9939,0.9773,0.9983,0.9919
0.796,0.9389,0.9694,0.9817,0.9817,0.994,0.9764,0.9982,0.9902
0.796,0.9389,0.97,0.9828,0.9827,0.9938,0.9765,0.9984,0.9901
0.796,0.9389,0.9697,0.9833,0.9834,0.9955,0.9774,0.9986,0.992
0.796,0.9389,0.968,0.9819,0.9819,0.9951,0.9775,0.9984,0.9902
0.796,0.9389,0.9692,0.9821,0.9819,0.9939,0.9758,0.9982,0.9909
0.796,0.9389,0.9698,0.9822,0.9822,0.9941,0.9764,0.9983,0.991
