human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.9389,0.9631,0.9823,0.9823,0.7453,0.9667,1.0,0.9952
0.7007,0.9389,0.9596,0.9823,0.9822,0.7538,0.9692,1.0,0.9975
0.7007,0.9389,0.96,0.984,0.984,0.756,0.9688,1.0,0.9945
0.7007,0.9389,0.9631,0.9868,0.9868,0.7462,0.9716,1.0,0.9971
0.7007,0.9389,0.9595,0.9835,0.9838,0.7529,0.9691,1.0,0.9953
0.7007,0.9389,0.959,0.9866,0.9865,0.7627,0.9709,1.0,0.9968
0.7007,0.9389,0.9597,0.9854,0.9855,0.7576,0.9703,1.0,0.996
0.7007,0.9389,0.963,0.9862,0.9865,0.7517,0.9689,1.0,0.9956
0.7007,0.9389,0.9622,0.9849,0.985,0.7474,0.9687,1.0,0.9964
0.7007,0.9389,0.9608,0.9821,0.982,0.7578,0.9637,1.0,0.9964
