human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.9389,0.9608,0.9805,0.9805,0.487,0.9442,0.9999,0.9996
0.7015,0.9389,0.9635,0.9803,0.9803,0.4831,0.939,0.9999,0.9997
0.7015,0.9389,0.9596,0.9824,0.9823,0.481,0.9409,0.9999,0.9997
0.7015,0.9389,0.9614,0.9823,0.9823,0.4825,0.9413,0.9999,0.9996
0.7015,0.9389,0.96,0.9813,0.9812,0.483,0.9424,0.9999,0.9997
0.7015,0.9389,0.9617,0.98,0.98,0.4848,0.9439,0.9999,0.9998
0.7015,0.9389,0.9594,0.9811,0.9811,0.4872,0.944,0.9999,0.9996
0.7015,0.9389,0.9623,0.9825,0.9824,0.4821,0.943,0.9999,0.9997
0.7015,0.9389,0.9631,0.9797,0.9796,0.4846,0.9419,0.9999,0.9998
0.7015,0.9389,0.962,0.9805,0.9805,0.4881,0.9433,0.9999,0.9999
