human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8584,0.9905,0.9493
0.796,0.5674,0.828,0.9001,0.9012,0.9662,0.8626,0.9905,0.9493
0.796,0.5674,0.828,0.9001,0.9013,0.9662,0.861,0.9905,0.9493
0.796,0.5674,0.828,0.9001,0.9012,0.9662,0.8551,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.857,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8603,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8567,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8579,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.859,0.9905,0.9493
0.796,0.5674,0.8282,0.9004,0.9015,0.9662,0.859,0.9905,0.9493
