human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9774,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9769,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9795,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9787,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9799,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9768,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9797,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9781,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9786,0.9978,0.9929
0.796,0.9389,0.971,0.981,0.9815,0.9958,0.9763,0.9978,0.9929
