human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.5674,0.7738,0.9207,0.9208,0.4155,0.9086,0.9997,0.9992
0.7015,0.5674,0.77,0.9178,0.9178,0.4134,0.9083,0.9997,0.9991
0.7015,0.5674,0.7641,0.9158,0.9158,0.4162,0.9092,0.9996,0.9993
0.7015,0.5674,0.7667,0.9234,0.9236,0.4168,0.9025,0.9997,0.9994
0.7015,0.5674,0.7806,0.9193,0.9193,0.4163,0.9065,0.9996,0.9993
0.7015,0.5674,0.7703,0.919,0.9191,0.4123,0.9064,0.9995,0.9991
0.7015,0.5674,0.7701,0.9193,0.9196,0.4147,0.914,0.9996,0.9995
0.7015,0.5674,0.7717,0.92,0.9202,0.4125,0.902,0.9996,0.9993
0.7015,0.5674,0.7687,0.9184,0.9185,0.4151,0.9118,0.9996,0.9993
0.7015,0.5674,0.7692,0.9173,0.9173,0.4199,0.9132,0.9996,0.9995
