human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.6777,0.9262,0.9262,0.4267,0.8996,0.9996,0.9949
0.8021,0.5674,0.7952,0.9107,0.911,0.4309,0.898,0.9995,0.9976
0.8021,0.5674,0.8262,0.9265,0.9264,0.4298,0.8941,0.9998,0.9959
0.8021,0.5674,0.8146,0.9292,0.929,0.4355,0.9039,0.9997,0.9935
0.8021,0.5674,0.7816,0.9091,0.9093,0.4076,0.9008,0.9994,0.994
0.8021,0.5674,0.8274,0.9272,0.9274,0.4223,0.9002,0.9997,0.9924
0.8021,0.5674,0.7872,0.9241,0.9239,0.4357,0.9034,0.9997,0.9963
0.8021,0.5674,0.7352,0.9411,0.941,0.4296,0.9018,1.0,0.9957
0.8021,0.5674,0.8242,0.9455,0.9455,0.4216,0.8976,1.0,0.9974
0.8021,0.5674,0.8182,0.9275,0.9279,0.4205,0.9044,0.9997,0.9962
