human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.9389,0.9702,0.9837,0.9838,0.9685,0.9836,0.9989,0.9927
0.8026,0.9389,0.9693,0.982,0.9822,0.973,0.9819,0.999,0.9925
0.8026,0.9389,0.9717,0.9847,0.9848,0.9721,0.9823,0.9991,0.993
0.8026,0.9389,0.9704,0.9836,0.9837,0.9742,0.9834,0.9988,0.9927
0.8026,0.9389,0.9709,0.9848,0.9849,0.9694,0.9805,0.9992,0.993
0.8026,0.9389,0.9712,0.9822,0.9825,0.9752,0.9839,0.9993,0.9929
0.8026,0.9389,0.9712,0.9828,0.9826,0.9731,0.9845,0.9992,0.9919
0.8026,0.9389,0.9689,0.982,0.9822,0.9705,0.9826,0.9988,0.9933
0.8026,0.9389,0.9708,0.983,0.9833,0.9714,0.9833,0.9991,0.994
0.8026,0.9389,0.9694,0.9845,0.9849,0.9689,0.9847,0.9992,0.9916
