human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8287,0.9259,0.9285,0.9417,0.898,0.9971,0.965
0.8026,0.5674,0.827,0.9252,0.9274,0.9443,0.9,0.998,0.959
0.8026,0.5674,0.8294,0.9211,0.9234,0.9452,0.9018,0.9978,0.9665
0.8026,0.5674,0.8251,0.9211,0.9234,0.9447,0.8985,0.9976,0.9654
0.8026,0.5674,0.8284,0.9192,0.9225,0.9492,0.8995,0.9974,0.9638
0.8026,0.5674,0.8253,0.9163,0.919,0.9428,0.8926,0.9973,0.9667
0.8026,0.5674,0.8255,0.9213,0.9243,0.9471,0.896,0.9979,0.9644
0.8026,0.5674,0.8269,0.9203,0.9231,0.9493,0.8953,0.9973,0.9613
0.8026,0.5674,0.828,0.9217,0.925,0.948,0.899,0.998,0.9633
0.8026,0.5674,0.8246,0.9165,0.9196,0.9488,0.895,0.9978,0.9672
