human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.9389,0.9586,0.9776,0.9775,0.9927,0.9789,0.9981,0.9897
0.7051,0.9389,0.9595,0.9783,0.9784,0.9933,0.9779,0.9985,0.9918
0.7051,0.9389,0.9608,0.9785,0.9788,0.9931,0.9784,0.9983,0.9918
0.7051,0.9389,0.9617,0.9766,0.9771,0.9927,0.9789,0.9987,0.9892
0.7051,0.9389,0.9625,0.9788,0.9791,0.9925,0.976,0.9984,0.9914
0.7051,0.9389,0.9646,0.9782,0.979,0.9935,0.9801,0.9981,0.9917
0.7051,0.9389,0.9611,0.9772,0.9773,0.9925,0.976,0.998,0.9909
0.7051,0.9389,0.9617,0.9788,0.9787,0.9938,0.9788,0.9984,0.9913
0.7051,0.9389,0.9619,0.9797,0.9792,0.9923,0.977,0.9986,0.9907
0.7051,0.9389,0.9626,0.9769,0.9767,0.9927,0.977,0.9985,0.9918
