human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.8289,0.9393,0.9398,0.4577,0.9102,0.9996,0.9962
0.8021,0.5674,0.8288,0.9392,0.9396,0.461,0.9188,0.9997,0.9959
0.8021,0.5674,0.8275,0.9358,0.9363,0.4654,0.9189,0.9995,0.9968
0.8021,0.5674,0.8255,0.9387,0.9391,0.4619,0.9171,0.9996,0.9959
0.8021,0.5674,0.8261,0.936,0.9365,0.4606,0.9165,0.9995,0.9964
0.8021,0.5674,0.8266,0.935,0.9355,0.46,0.9174,0.9995,0.9953
0.8021,0.5674,0.829,0.9348,0.9353,0.4555,0.9202,0.9997,0.9966
0.8021,0.5674,0.8305,0.9381,0.9385,0.4601,0.9179,0.9996,0.9967
0.8021,0.5674,0.8261,0.9349,0.9354,0.4584,0.9189,0.9995,0.9968
0.8021,0.5674,0.8286,0.9388,0.9392,0.4624,0.9162,0.9995,0.9969
