human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.9389,0.9714,0.9893,0.9893,0.3956,0.9018,1.0,0.9966
0.8021,0.9389,0.9709,0.9886,0.9886,0.3887,0.9007,1.0,0.9982
0.8021,0.9389,0.9698,0.9869,0.9869,0.3832,0.9091,1.0,0.9972
0.8021,0.9389,0.9664,0.9865,0.9865,0.3959,0.8983,1.0,0.9978
0.8021,0.9389,0.9702,0.9866,0.9866,0.3854,0.8993,1.0,0.9967
0.8021,0.9389,0.967,0.988,0.988,0.3868,0.9039,1.0,0.9965
0.8021,0.9389,0.9506,0.9875,0.9874,0.3922,0.9034,1.0,0.9963
0.8021,0.9389,0.9709,0.9884,0.9884,0.3921,0.8996,1.0,0.9984
0.8021,0.9389,0.9673,0.9852,0.9851,0.3942,0.8954,1.0,0.9967
0.8021,0.9389,0.9661,0.989,0.989,0.3945,0.9019,1.0,0.9974
