human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.9389,0.9713,0.9868,0.9867,0.9186,0.9775,0.9993,0.9911
0.8026,0.9389,0.9698,0.9844,0.9848,0.9174,0.9759,0.9994,0.988
0.8026,0.9389,0.971,0.9855,0.9858,0.9164,0.9784,0.9992,0.9891
0.8026,0.9389,0.9581,0.9819,0.9818,0.911,0.9789,0.9995,0.9869
0.8026,0.9389,0.9714,0.986,0.9864,0.9203,0.977,0.9993,0.9902
0.8026,0.9389,0.9729,0.9854,0.9855,0.9139,0.9767,0.9993,0.9878
0.8026,0.9389,0.9632,0.9856,0.986,0.9179,0.9773,0.9992,0.9859
0.8026,0.9389,0.9717,0.9866,0.987,0.915,0.9771,0.9994,0.9872
0.8026,0.9389,0.9691,0.9821,0.9826,0.908,0.9765,0.9993,0.9888
0.8026,0.9389,0.973,0.9875,0.9876,0.9155,0.9771,0.9987,0.9878
